,raw,dis,map,onehot,extra,def
0,LotFrontage,MSSubClass,MSZoning,Street,Neighborhood,Id
1,LotArea,OverallQual,LotShape,Alley,Exterior1st,Utilities
2,MasVnrArea,OverallCond,LandContour,LotConfig,Exterior2nd,RoofMatl
3,1stFlrSF,YearBuilt,LandSlope,Condition1,BsmtFinType1,Heating
4,2ndFlrSF,YearRemodAdd,ExterQual,Condition2,BsmtFinType2,LowQualFinSF
5,GrLivArea,BsmtFullBath,ExterCond,BldgType,BsmtFinSF1,MiscFeature
6,GarageArea,BsmtHalfBath,BsmtQual,HouseStyle,BsmtFinSF2,
7,WoodDeckSF,FullBath,BsmtCond,RoofStyle,BsmtUnfSF,
8,OpenPorchSF,HalfBath,BsmtExposure,MasVnrType,TotalBsmtSF,
9,EnclosedPorch,BedroomAbvGr,HeatingQC,Foundation,Functional,
10,3SsnPorch,KitchenAbvGr,CentralAir,Electrical,,
11,ScreenPorch,TotRmsAbvGrd,KitchenQual,GarageType,,
12,PoolArea,Fireplaces,FireplaceQu,PavedDrive,,
13,MiscVal,GarageYrBlt,GarageFinish,SaleType,,
14,,GarageCars,GarageQual,SaleCondition,,
15,,MoSold,GarageCond,,,
16,,YrSold,PoolQC,,,
17,,,Fence,,,
