raw,dis,map,onehot,extra,del
LotArea,OverallQual,ExterQual,MSSubClass,Neighborhood,Id
MasVnrArea,OverallCond,BsmtQual,MSZoning,YearBuilt,LotFrontage
TotalBsmtSF,BsmtFullBath,BsmtCond,Street,YearRemodAdd,Utilities
GrLivArea,BsmtHalfBath,BsmtExposure,Alley,Exterior1st,Condition2
GarageArea,HalfBath,HeatingQC,LotShape,Exterior2nd,RoofMatl
WoodDeckSF,BedroomAbvGr,CentralAir,LandContour,GarageYrBlt,BsmtFinType1
OpenPorchSF,KitchenAbvGr,KitchenQual,LotConfig,MoSold,BsmtFinType2
EnclosedPorch,TotRmsAbvGrd,FireplaceQu,LandSlope,YrSold,BsmtFinSF1
3SsnPorch,Fireplaces,GarageFinish,Condition1,,BsmtFinSF2
ScreenPorch,GarageCars,GarageQual,BldgType,,BsmtUnfSF
,,GarageCond,HouseStyle,,Heating
,,,RoofStyle,,1stFlrSF
,,,MasVnrType,,2ndFlrSF
,,,ExterCond,,LowQualFinSF
,,,Foundation,,MiscFeature
,,,Electrical,,PoolArea
,,,Functional,,PoolQC
,,,GarageType,,MiscVal
,,,PavedDrive,,
,,,Fence,,
,,,SaleType,,
,,,SaleCondition,,
