raw,dis,map,onehot,extra,del
LotArea,OverallQual,ExterQual,MSSubClass,,Id
MasVnrArea,OverallCond,BsmtQual,MSZoning,,LotFrontage
TotalBsmtSF,BsmtFullBath,BsmtCond,Street,,Utilities
GrLivArea,BsmtHalfBath,BsmtExposure,LotShape,,Condition2
GarageArea,HalfBath,HeatingQC,LandContour,,RoofMatl
WoodDeckSF,BedroomAbvGr,CentralAir,LotConfig,,BsmtFinType1
OpenPorchSF,KitchenAbvGr,KitchenQual,LandSlope,,BsmtFinType2
EnclosedPorch,Fireplaces,GarageFinish,Condition1,,BsmtFinSF1
3SsnPorch,,GarageQual,BldgType,,BsmtFinSF2
ScreenPorch,,GarageCond,HouseStyle,,BsmtUnfSF
,,,RoofStyle,,Heating
,,,MasVnrType,,1stFlrSF
,,,ExterCond,,2ndFlrSF
,,,Foundation,,LowQualFinSF
,,,Electrical,,MiscFeature
,,,Functional,,PoolArea
,,,GarageType,,PoolQC
,,,PavedDrive,,MiscVal
,,,SaleType,,Fence
,,,SaleCondition,,Alley
,,,Neighborhood,,FireplaceQu
,,,MoSold,,GarageYrBlt
,,,,,TotRmsAbvGrd
,,,,,GarageCars
,,,,,YearBuilt
,,,,,YearRemodAdd
,,,,,Exterior1st
,,,,,Exterior2nd
,,,,,YrSold
