MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,SaleType,SaleCondition,SalePrice
5,3,0.03341980415527355,1,3,3,4,0,5,2,0,5,7,5,1,1,0.1225,2,4,2,2,3,3,0.14009819967266776,0,1,4,0.2592313489073097,1,0,2,1,3,1,2,6,0,1,1,0.38645980253878703,4,4,2,0.0,0.11151736745886655,0.0,0.0,0.0,1,8,4,208500
0,3,0.03879501741101685,1,3,3,2,0,24,1,0,2,6,8,1,2,0.0,3,4,1,2,3,1,0.2065466448445172,0,1,4,0.17483044461190655,0,1,2,0,3,1,3,6,1,1,1,0.3244005641748942,4,4,2,0.34772462077012833,0.0,0.0,0.0,0.0,4,8,4,181500
5,3,0.04650727990838767,1,0,3,4,0,5,2,0,5,7,5,1,1,0.10125,2,4,2,2,3,2,0.15057283142389527,0,1,4,0.27354935945742276,1,0,2,1,3,1,2,6,1,1,1,0.4287729196050776,4,4,2,0.0,0.07678244972577697,0.0,0.0,0.0,8,8,4,223500
6,3,0.0385613124868541,1,0,3,0,0,6,2,0,5,7,5,1,2,0.0,3,4,0,3,1,3,0.12373158756137481,2,1,4,0.2605501130369254,1,0,1,0,3,1,2,6,1,5,2,0.4527503526093089,4,4,2,0.0,0.06398537477148081,0.4927536231884058,0.0,0.0,1,8,0,140000
5,3,0.06057631634298535,1,0,3,2,0,15,2,0,5,8,5,1,1,0.21875,2,4,2,2,3,0,0.18739770867430444,0,1,4,0.35116804822908815,1,0,2,1,4,1,2,6,1,1,1,0.5895627644569816,4,4,2,0.22403733955659275,0.15356489945155394,0.0,0.0,0.0,11,8,4,250000
4,3,0.05989857206291336,1,0,3,4,0,11,2,0,0,5,5,1,2,0.0,3,4,5,2,3,3,0.13027823240589198,0,1,4,0.19366993217784478,1,0,1,1,1,1,3,6,0,1,2,0.3385049365303244,4,4,2,0.04667444574095682,0.054844606946983544,0.0,0.6299212598425197,0.0,9,8,4,143000
0,3,0.04105728107691229,1,3,3,4,0,21,2,0,2,8,5,1,3,0.11625,2,4,2,0,3,0,0.27594108019639935,0,1,4,0.2562170308967596,1,0,2,0,3,1,2,6,1,1,1,0.4485190409026798,4,4,2,0.2975495915985997,0.10420475319926874,0.0,0.0,0.0,7,8,4,307000
5,3,0.04245016242492229,1,0,3,0,0,14,4,0,5,7,6,1,3,0.15,3,4,1,2,3,2,0.1811783960720131,0,1,4,0.3308214016578749,1,0,2,1,3,1,3,6,2,1,1,0.3413258110014104,4,4,2,0.2742123687281213,0.37294332723948814,0.41304347826086957,0.0,0.0,10,8,4,200000
4,4,0.022529154689289302,1,3,3,4,0,17,0,0,0,7,5,1,2,0.0,3,4,0,3,3,3,0.155810147299509,2,1,1,0.2712886209495102,0,0,2,0,2,2,3,2,2,5,2,0.3300423131170663,1,4,2,0.10501750291715285,0.0,0.3713768115942029,0.0,0.0,3,8,0,129900
14,3,0.028605482717520857,1,3,3,0,0,3,0,1,1,5,6,1,2,0.0,3,4,0,3,3,3,0.16219312602291328,0,1,4,0.13997739261492087,1,0,1,0,2,2,3,6,2,1,1,0.14456981664315938,2,4,2,0.0,0.007312614259597806,0.0,0.0,0.0,0,8,4,118000
0,3,0.046273574984224915,1,3,3,4,0,19,2,0,2,5,5,3,2,0.0,3,4,1,3,3,3,0.17021276595744683,0,1,4,0.13300678221552373,1,0,1,0,3,1,3,6,0,5,2,0.27080394922425954,4,4,2,0.0,0.0,0.0,0.0,0.0,1,8,4,129500
5,3,0.049657622286101565,1,0,3,4,0,16,2,0,5,9,5,3,3,0.17875,0,4,2,0,3,3,0.19230769230769232,0,1,4,0.3749058025621703,1,0,3,0,4,1,0,6,2,3,0,0.5190409026798307,4,4,2,0.17152858809801633,0.038391224862888484,0.0,0.0,0.0,6,6,5,345000
0,3,0.05453738110261983,1,1,3,4,0,19,2,0,2,5,6,3,2,0.0,3,4,1,3,3,3,0.14926350245499184,4,1,4,0.10889223813112284,1,0,1,0,2,1,3,6,0,5,2,0.24823695345557123,4,4,2,0.16336056009334887,0.0,0.0,0.0,0.36666666666666664,8,8,4,144000
0,3,0.043712169015401155,1,0,3,4,0,5,2,0,2,7,5,1,3,0.19125,2,4,2,2,3,0,0.24451718494271688,0,1,4,0.21853805576488322,0,0,2,0,3,1,2,6,1,1,1,0.5923836389280677,4,4,2,0.18669778296382727,0.0603290676416819,0.0,0.0,0.0,7,6,5,279500
0,3,0.044964827408913506,1,0,3,0,0,12,2,0,2,6,5,3,1,0.1325,3,4,1,3,3,3,0.20507364975450085,4,1,4,0.17313489073097213,1,0,1,1,2,1,3,6,1,1,1,0.24823695345557123,4,4,2,0.0,0.38939670932358317,0.31884057971014496,0.0,0.0,4,8,4,157000
3,4,0.022529154689289302,1,3,3,0,0,3,2,0,1,7,8,1,2,0.0,3,4,0,3,3,3,0.13617021276595745,0,1,0,0.09796533534287868,0,0,1,0,2,1,3,6,0,5,2,0.40620592383638926,4,4,2,0.05600933488914819,0.20475319926873858,0.0,0.0,0.0,6,8,4,132000
0,3,0.04646521302203837,1,0,3,1,0,12,2,0,2,6,7,1,1,0.1125,3,4,1,3,3,3,0.16432078559738136,0,1,4,0.12622456669178597,1,0,1,0,2,1,3,6,1,1,0,0.3385049365303244,4,4,2,0.0,0.0,0.0,0.0,0.0,2,8,4,149000
10,3,0.04436186870457361,1,3,3,4,0,19,2,2,2,4,5,1,2,0.0,3,4,3,4,4,4,0.0,4,1,4,0.18123587038432554,0,0,2,0,2,2,3,6,0,4,2,0.3638928067700987,4,4,2,0.0,0.0,0.0,0.0,0.0,9,8,4,90000
0,3,0.057935450699946246,1,3,3,4,0,20,5,0,2,5,5,1,2,0.0,3,4,2,3,3,3,0.1823240589198036,0,1,4,0.146948003014318,1,0,1,1,3,1,2,6,0,5,2,0.40620592383638926,4,4,2,0.0,0.18647166361974407,0.0,0.0,0.0,5,8,4,159000
0,3,0.02925985650517656,1,3,3,4,0,12,2,0,2,5,6,3,2,0.0,3,4,1,3,3,3,0.1684124386252046,4,1,4,0.18933685003767897,0,0,1,0,3,1,3,2,0,1,2,0.20733427362482368,4,4,2,0.0,0.0,0.0,0.0,0.0,4,0,0,139000
5,3,0.06036598191123887,1,0,3,0,0,16,2,0,5,8,5,1,1,0.23750000000000002,2,4,2,0,3,0,0.18952536824877253,0,1,4,0.38470233609645815,0,0,3,1,4,1,2,6,1,3,1,0.6015514809590973,4,4,2,0.28004667444574094,0.28153564899451555,0.0,0.0,0.0,10,6,5,325300
3,4,0.028741031573535254,1,3,0,4,0,9,2,0,1,7,7,1,2,0.0,3,4,2,3,3,3,0.10425531914893618,0,1,1,0.14581763376036172,0,0,1,0,3,1,2,6,1,1,2,0.19746121297602257,4,4,0,0.0,0.0,0.3713768115942029,0.0,0.0,5,8,4,139400
0,3,0.03945873939563906,1,3,3,4,0,5,2,0,2,8,5,3,1,0.175625,2,4,2,2,3,3,0.29083469721767596,0,1,4,0.2752449133383572,0,0,2,0,3,1,2,6,1,1,1,0.37658674188998587,4,4,2,0.1995332555425904,0.2906764168190128,0.0,0.0,0.0,8,8,4,230000
11,4,0.013667063965037744,1,3,3,4,0,10,2,4,2,5,7,1,2,0.0,3,4,2,2,3,3,0.17021276595744683,4,1,4,0.13677467972871138,1,0,1,0,3,1,3,6,1,1,2,0.4033850493653032,4,4,2,0.11668611435239205,0.20109689213893966,0.0,0.0,0.0,5,8,4,129900
0,3,0.03246628806468952,1,0,3,4,0,19,2,0,2,5,8,1,2,0.0,3,2,1,3,3,2,0.17348608837970542,0,1,4,0.13677467972871138,1,0,1,0,3,1,2,6,1,1,2,0.19040902679830748,4,4,2,0.47374562427071176,0.16453382084095064,0.0,0.0,0.0,4,8,4,154000
0,3,0.06043609338848769,1,3,3,0,0,16,2,0,2,8,5,1,3,0.4,2,4,2,2,3,3,0.2563011456628478,0,1,4,0.23850791258477771,0,0,2,0,3,1,2,6,1,1,1,0.6276445698166432,4,4,2,0.0,0.10237659963436929,0.0,0.0,0.0,6,8,4,256300
0,3,0.027577181051204748,1,3,3,0,0,12,2,0,2,5,7,1,2,0.0,3,4,1,3,3,2,0.14729950900163669,4,1,4,0.10663149962321025,0,1,1,0,3,1,2,6,0,5,2,0.40620592383638926,4,4,2,0.25904317386231035,0.05850091407678245,0.0,0.0,0.0,4,8,4,134800
0,3,0.04757297436256982,1,3,3,4,0,16,2,0,2,8,5,1,3,0.125,2,4,2,0,3,3,0.2788870703764321,0,1,4,0.25810097965335344,1,0,2,0,3,1,2,6,1,1,1,0.5444287729196051,4,4,2,0.0,0.09140767824497258,0.0,0.0,0.0,4,8,4,306000
0,3,0.070209633316974,1,0,3,1,0,12,2,0,2,5,6,1,2,0.0,3,4,1,3,3,1,0.24288052373158758,4,1,4,0.23850791258477771,1,0,1,0,2,1,3,6,2,1,1,0.2249647390691114,4,4,2,0.3360560093348891,0.4716636197440585,0.0,0.0,0.0,11,8,4,207500
1,4,0.02348267077987333,1,0,3,4,0,3,1,0,2,4,6,1,2,0.0,3,4,0,3,3,3,0.08510638297872342,1,0,4,0.03504144687264506,0,0,1,0,1,1,1,6,0,5,2,0.1692524682651622,1,4,2,0.05717619603267211,0.0,0.15760869565217392,0.0,0.0,4,8,4,68500
6,0,0.0336535090794363,1,3,3,4,0,9,1,0,5,4,4,2,2,0.0,3,1,0,3,3,3,0.10621931260229134,4,0,4,0.18519216277317258,0,0,1,0,3,1,3,6,0,5,2,0.1763046544428773,4,1,0,0.0,0.09872029250457039,0.3115942028985507,0.0,0.0,6,8,4,40000
0,3,0.03385916941269952,1,0,3,1,0,19,2,0,2,5,6,1,2,0.0,3,4,1,3,3,3,0.2009819967266776,2,1,4,0.16842501883948757,0,0,1,1,3,1,2,6,0,1,2,0.191114245416079,4,4,2,0.0,0.11882998171846434,0.0,0.0,0.0,5,8,4,149350
0,3,0.045567786113253406,1,3,3,0,0,5,2,0,2,8,5,1,2,0.0,2,4,2,0,3,0,0.20196399345335517,0,1,4,0.16955538809344387,0,0,2,0,3,1,2,6,0,1,1,0.3413258110014104,4,4,2,0.0,0.054844606946983544,0.0,0.0,0.0,0,8,4,179900
0,3,0.043244759167075646,1,0,3,4,0,12,2,0,2,5,5,3,2,0.0,3,4,1,3,3,3,0.22880523731587563,2,1,4,0.2573474001507159,0,1,1,1,4,1,2,6,1,1,1,0.3152327221438646,4,4,2,0.0,0.06946983546617916,0.0,0.0,0.0,3,8,4,165500
11,3,0.028105354179812567,1,3,3,4,0,16,2,4,2,9,5,3,1,0.15375,0,4,2,0,3,3,0.25548281505728315,0,1,4,0.23116051243406177,1,0,2,0,2,1,0,6,1,1,0,0.3921015514809591,4,4,2,0.23687281213535588,0.08592321755027423,0.0,0.0,0.0,7,8,4,277500
5,3,0.0566407254200846,1,3,3,4,0,16,2,0,5,8,5,1,3,0.0825,2,4,2,0,3,0,0.1828150572831424,0,1,4,0.3990203466465712,0,0,3,1,4,1,2,6,1,3,0,0.4873060648801128,4,4,2,0.13185530921820302,0.05850091407678245,0.0,0.0,0.0,8,8,4,309000
0,3,0.04467970740143495,1,3,3,0,0,5,2,0,2,5,5,1,2,0.0,3,4,2,2,3,3,0.17954173486088382,0,1,4,0.14374529012810852,0,0,1,1,3,1,3,6,0,1,2,0.47390691114245415,4,4,2,0.45740956826137685,0.1170018281535649,0.0,0.0,0.0,5,8,4,145000
0,3,0.033803080230900465,1,3,3,4,0,12,2,0,2,5,6,3,1,0.40625,3,4,1,3,3,3,0.21227495908346974,2,1,4,0.18142426525998492,0,1,1,0,3,1,3,6,1,1,0,0.3511988716502116,4,4,2,0.0,0.0,0.0,0.0,0.0,9,8,4,153000
0,3,0.030951880156114886,1,3,3,4,0,12,2,0,2,5,7,1,2,0.0,3,2,1,3,3,3,0.17299509001636662,4,1,4,0.13620949510173322,1,0,1,0,3,1,2,6,0,5,2,0.17348377997179126,4,4,2,0.0,0.09506398537477148,0.0,0.0,0.0,0,8,0,109000
10,3,0.022155226810628897,1,3,3,4,0,7,2,2,2,4,5,1,2,0.0,3,4,2,4,4,4,0.0,4,0,2,0.15410700828937451,0,0,2,0,2,2,1,6,0,6,3,0.0,5,5,0,0.0,0.0,0.0,0.0,0.0,5,8,1,82000
0,3,0.0343920166397906,1,3,3,4,0,12,2,0,2,6,5,1,1,0.063125,3,4,1,3,3,3,0.17806873977086746,0,1,4,0.18651092690278825,0,0,2,0,3,1,3,6,1,1,1,0.31029619181946405,4,4,2,0.0,0.2522851919561243,0.0,0.0,0.0,11,8,0,160000
