,raw,dis,map,onehot,extra,def
0,LotFrontage,MSSubClass,MSZoning,Street,Neighborhood,Id
1,LotArea,OverallQual,LotShape,Alley,Condition1,Utilities
2,MasVnrArea,OverallCond,LandContour,LotConfig,Condition2,MiscFeature
3,1stFlrSF,YearBuilt,LandSlope,BldgType,Exterior1st,
4,2ndFlrSF,YearRemodAdd,ExterQual,HouseStyle,Exterior2nd,
5,LowQualFinSF,BsmtFullBath,ExterCond,RoofStyle,BsmtFinType1,
6,GrLivArea,BsmtHalfBath,BsmtQual,RoofMatl,BsmtFinType2,
7,GarageArea,FullBath,BsmtCond,MasVnrType,BsmtFinSF1,
8,WoodDeckSF,HalfBath,HeatingQC,Foundation,BsmtFinSF2,
9,OpenPorchSF,BedroomAbvGr,CentralAir,BsmtExposure,BsmtUnfSF,
10,EnclosedPorch,KitchenAbvGr,KitchenQual,Heating,TotalBsmtSF,
11,3SsnPorch,TotRmsAbvGrd,FireplaceQu,Electrical,Functional,
12,ScreenPorch,Fireplaces,GarageFinish,GarageType,,
13,PoolArea,GarageYrBlt,GarageQual,PavedDrive,,
14,MiscVal,GarageCars,GarageCond,SaleType,,
15,,MoSold,PoolQC,SaleCondition,,
16,,YrSold,Fence,,,
